team,points,position,season
Liverpool,84,1,2024-25
Arsenal,74,2,2024-25
Manchester City,71,3,2024-25
Chelsea,69,4,2024-25
Newcastle United,66,5,2024-25
Aston Villa,66,6,2024-25
Nottingham Forest,65,7,2024-25
Brighton,61,8,2024-25
Bournemouth,56,9,2024-25
Brentford,56,10,2024-25
Fulham,54,11,2024-25
Crystal Palace,53,12,2024-25
Everton,48,13,2024-25
West Ham United,43,14,2024-25
Manchester United,42,15,2024-25
Wolves,42,16,2024-25
Tottenham Hotspur,38,17,2024-25
Leicester City,25,18,2024-25
Ipswich Town,22,19,2024-25
Southampton,12,20,2024-25